show_id,type,title,country,date_added,release_year,listed_in
80209608,Movie,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","Canada, United States","November 17, 2017",2017,Documentaries
80224167,Movie,The Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe,"Canada, United States","August 24, 2018",2017,Documentaries
70091304,Movie,Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal,United States,"November 22, 2019",2008,Stand-Up Comedy
80186850,Movie,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,United States,"May 25, 2018",2018,Stand-Up Comedy
81053893,Movie,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,,"September 28, 2019",2019,"Documentaries, International Movies"
70221570,Movie,"Power Rangers Samurai: Christmas Together, Friends Forever (Christmas Special)",United States,"January 1, 2016",2011,Movies
81211714,Movie,The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,United States,"October 29, 2019",2019,"Documentaries, International Movies"
80208908,Movie,Green White Green (And All the Beautiful Colours in My Mosaic of Madness),Nigeria,"January 1, 2018",2016,"Comedies, Independent Movies, International Movies"
80208273,Movie,Judah Friedlander: America Is the Greatest Country in the United States,United States,"October 31, 2017",2017,Stand-Up Comedy
80092839,Movie,Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home,,"December 21, 2015",2015,Movies
81036190,Movie,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,,"May 23, 2019",2019,"Comedies, Music & Musicals, Sports Movies"
81031650,Movie,The Bill Murray Stories: Life Lessons Learned From a Mythical Man,United States,"December 31, 2018",2018,Documentaries
80171439,Movie,The Human Factor: The Untold Story of the Bombay Film Orchestras,India,"April 1, 2017",2013,"Documentaries, International Movies, Music & Musicals"
80106337,Movie,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,Sweden,"April 25, 2017",2016,"Comedies, International Movies"
80131436,Movie,"Mariusz Kałamaga, Karol Kopiec, Wiolka Walaszczyk Hilarious Trio",,"September 19, 2016",2016,Stand-Up Comedy
80097431,Movie,Jeff Foxworthy and Larry the Cable Guy: We’ve Been Thinking...,United States,"August 26, 2016",2016,Stand-Up Comedy
80092837,Movie,Power Rangers Super Megaforce: The Legendary Battle (Extended),United States,"January 1, 2016",2014,Movies
80092835,Movie,Fireplace 4K: Crackling Birchwood from Fireplace for Your Home,,"December 21, 2015",2015,Movies
80117628,Movie,Gabriel lglesias: I’m Sorry For What I Said When I Was Hungry,United States,"December 20, 2016",2016,Stand-Up Comedy
80104330,Movie,Attacking the Devil: Harold Evans and the Last Nazi War Crime,United Kingdom,"May 15, 2016",2014,"Documentaries, International Movies"
80081410,Movie,"Trailer Park Boys: Drunk, High and Unemployed: Live in Austin",Canada,"December 9, 2015",2015,"Comedies, International Movies"
